Speed (ft/s),Motor Command (ul)
0,0
1.4,0.1
3.6,0.2
5.5,0.3
7.5,0.4
9.4,0.5
11.3,0.6
13.3,0.7
15.2,0.8
17.0,0.9
18.8,1
18.8,1
