Speed (ft/s),Motor Command (ul)
0,0
0.6,0.1
1.3,0.2
2.1,0.3
2.8,0.4
3.6,0.5
4.3,0.6
5.0,0.7
5.7,0.8
6.5,0.9
7.1,1
15.5,1
